,visitors,exhibitors,lat,lng,iata,distance
2928,0,10.0,51.505258,-0.09917,LON,10.689723770273142
2929,0,0,13.7397107,100.5112057,BKK,21.830324113489038
2930,0,0,-33.868964,151.205891,SYD,8.981742136827712
2931,0,0,51.323268,0.267284,LON,16.334936108755674
2932,0,30.0,40.761952,-73.759835,NYC,9.646110601858203
2933,0,30.0,40.729513,-73.996461,NYC,11.703545931716489
2934,0,30.0,51.5073219,-0.1276474,LON,12.662423481473173
2935,0,12.0,1.3408528,103.8784468637,SIN,12.887602867904425
2936,0,30.0,25.133804,55.187293,DXB,22.19529759435818
2937,0,30.0,51.5073219,-0.1276474,LON,12.662423481473173
2938,12500.0,300.0,1.283563,103.860687,SIN,16.568761913437264
2939,0,30.0,13.724812,100.547257,BKK,21.85483122073137
2940,15684.0,0,13.7538929,100.8160803,BKK,11.00905352917572
2941,3000.0,35.0,47.435511,-122.294114,SEA,1.871662650797561
2942,0,30.0,13.745668,100.555839,BKK,19.36652554953132
2943,0,0,-33.809728,151.000788,SYD,22.238938454838088
2944,0,30.0,51.5073219,-0.1276474,LON,12.662423481473173
2945,0,0,40.7308619,-73.9871558,NYC,10.938998375331492
2946,3000.0,300.0,34.143817,-118.144302,LAX,33.036514041777295
2947,0,30.0,13.7538929,100.8160803,BKK,11.00905352917572
2948,0,30.0,51.519332,-0.119588,LON,12.201222398371
2949,0,0,51.5073219,-0.1276474,LON,12.662423481473173
2950,35000.0,0,41.037181,-73.778753,NYC,6.82567340658698
2951,30000.0,175.0,25.207714,55.262375,DXB,11.42139659460913
2952,0,0,52.527687,13.377991,BER,7.0677248031408055
2953,3000.0,300.0,40.762468,-73.981557,NYC,9.320842146513519
2954,35000.0,0,36.107647,-115.156089,LAS,3.084926225979265
2955,0,0,22.1901865,113.5458476,HKG,40.21962538012512
2956,0,0,41.14539,-8.60759,OPO,12.983203065182007
2957,0,60.0,50.8116902,-0.3703948,LON,39.475323756324244
2958,0,30.0,40.762356,-73.979626,NYC,9.163045998773429
2959,35000.0,0,40.769127,-73.996224,NYC,10.449027007648192
2960,0,0,37.79209,-122.403676,SFO,19.41141335855105
2961,0,0,47.623913,-122.349735,SEA,19.688246028433653
2962,0,0,51.490806,-0.171903,LON,15.808596998680647
2963,0,30.0,51.597587,-1.125047,LON,47.99029865176832
2964,0,30.0,37.863765,-122.249904,SFO,29.355460401189177
2965,0,0,52.5170365,13.3888599,BER,8.325486463447099
2966,0,30.0,49.010502,2.557504,PAR,0.6039286578551687
2967,0,60.0,40.809635,-74.001545,NYC,11.438672964598332
2968,0,30.0,49.9999952,8.2710237,FRA,21.720202031891812
2969,0,30.0,52.504122,13.34878,BER,7.4338678007063095
2970,0,60.0,51.534989,-0.12211,LON,12.709706501484426
2971,0,30.0,40.757624,-73.989125,NYC,10.051952027665381
2972,0,30.0,51.518743,-0.079814,LON,9.46743097371499
2973,0,30.0,45.43185,12.329641,VCE,8.34957306824828
2974,5000.0,55.0,25.778906,-80.309163,MIA,2.44520924715869
2975,12500.0,300.0,52.160888,0.128193,LON,31.53598875463746
2976,12500.0,300.0,48.879287,2.283741,PAR,15.26643236966902
2977,0,0,41.346028,2.10848,BCN,5.990344704545551
2978,300.0,30.0,40.304279,-73.979091,NYC,40.971517357404146
2979,0,30.0,51.48238,-0.450463,LON,1.5322131854952603
2980,0,30.0,25.085417,55.143707,DXB,28.97743866711723
2981,12500.0,300.0,51.56372,-0.12885,LON,14.29682894848747
2982,0,0,33.799099,-117.916141,LAX,48.128659602410714
2983,0,0,34.054935,-118.244476,LAX,19.584148339690596
2984,0,30.0,25.07536,55.132186,DXB,30.585316943587543
2985,3000.0,300.0,52.514697,13.239499,BER,5.9723266989113135
2986,0,30.0,45.406593,12.367529,VCE,11.043096959081655
2987,0,30.0,51.5073219,-0.1276474,LON,12.662423481473173
2988,0,30.0,22.152458,113.565021,HKG,40.00355557230419
2989,0,30.0,52.516607,13.390626,BER,8.450933726883997
2990,12500.0,300.0,47.633412,-122.664092,SEA,33.629373897459544
2991,0,60.0,52.497048,13.452544,BER,13.148564272156715
2992,0,30.0,36.109755,-115.173877,LAS,3.838791171875729
2993,0,30.0,53.484586,-2.270755,MAN,14.55665503628162
2994,0,30.0,40.706826,-74.01303,NYC,13.21956671557787
2995,35000.0,0,36.102735,-115.200835,LAS,5.0585265097808465
2996,0,30.0,40.750426,-73.969137,NYC,8.6584824091513
2997,0,30.0,37.786558,-122.403092,SFO,18.794857466443194
2998,0,30.0,25.81372,-80.339676,MIA,5.416591971276018
2999,0,0,41.389612,2.190316,BCN,13.892993834891726
3000,0,30.0,51.511182,-0.076316,LON,9.130813252586568
